EmployeeID,BenefitID,SatisfactionScore,Comments,UsageFrequency,LastUsedDate,BenefitType,BenefitSubType,BenefitCost,Gender_Female,Gender_Male,Gender_Non-Binary,Department_Finance,Department_HR,Department_IT,Department_Marketing,Department_Sales,Age_Gen_Boomer,Age_Gen_Gen_X,Age_Gen_Gen_Z,Age_Gen_Millenial,TenureGroups_ >25_years,TenureGroups_16-25_years,TenureGroups_5-15_years,TenureGroups_<5_years,BenefitFlag_Cell_Phone_Allowance_Monthly_Communications,BenefitFlag_Childcare_After-School_Care,BenefitFlag_Childcare_On-Site_Infant_Care,BenefitFlag_Commuter_Benefits_Transit_Subsidy,BenefitFlag_Flexible_Spending_Account_Healthcare_FSA,BenefitFlag_Gym_Membership_Family_Membership,BenefitFlag_Gym_Membership_Tier_1_Partners,BenefitFlag_Gym_Membership_Tier_2_Partners,BenefitFlag_Gym_Membership_Tier_3_Partners,BenefitFlag_Health_Insurance_HDHP_Individual,BenefitFlag_Health_Insurance_HMO_Family,BenefitFlag_Health_Insurance_PPO_Family,BenefitFlag_Health_Insurance_PPO_Individual,BenefitFlag_Life_Insurance_Basic_Coverage,BenefitFlag_Life_Insurance_Dependent_Coverage,BenefitFlag_Life_Insurance_Supplemental_High_Amount,BenefitFlag_Life_Insurance_Supplemental_Standard,BenefitFlag_Professional_Development_Conference_Attendance,BenefitFlag_Retirement_Plan_401k_Basic_Matching,BenefitFlag_Retirement_Plan_401k_Catch-Up_Contributions,BenefitFlag_Retirement_Plan_401k_High_Contribution,BenefitFlag_Retirement_Plan_401k_Investment_Fees,BenefitFlag_Retirement_Plan_401k_Maximum_Matching,BenefitFlag_Retirement_Plan_401k_Standard_Matching,BenefitFlag_Technology_Stipend_Monthly_Internet_Allowance,BenefitFlag_Tuition_Reimbursement_Graduate_Degree,BenefitFlag_Tuition_Reimbursement_Individual_Courses,BenefitFlag_Tuition_Reimbursement_Professional_Certification,BenefitFlag_Tuition_Reimbursement_Undergraduate_Degree,BenefitFlag_Wellness_Programs_Premium_Discount_Tier_1
2926,10,1,Difficult to find suitable care.,9,2024-03-09,Childcare,On-Site Infant Care,915.48,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2666,30,2,Complicated reimbursement process.,4,2023-08-17,Tuition Reimbursement,Individual Courses,723.73,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3991,8,4,Sufficient time off provided.,6,2024-02-15,Wellness Programs,Premium Discount Tier 1,125.0,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1757,9,3,"Good, but sometimes difficult.",5,2024-04-11,Professional Development,Conference Attendance,850.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1773,10,4,Good quality care available.,8,2023-12-25,Childcare,On-Site Infant Care,915.48,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
802,7,4,Sufficient time off provided.,0,2024-04-18,Flexible Spending Account,Healthcare FSA,450.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4793,18,3,"Standard, nothing exceptional.",9,2024-04-04,Retirement Plan,401k Investment Fees,743.01,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4793,18,3,"Standard, nothing exceptional.",4,2023-11-09,Retirement Plan,401k Investment Fees,743.01,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1336,29,2,Could use more vacation time.,0,2024-02-14,Childcare,After-School Care,475.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3716,28,4,"Solid plan, happy with it.",4,2024-04-01,Life Insurance,Dependent Coverage,165.54,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4004,17,1,Unhappy with this benefit.,9,2024-01-27,Retirement Plan,401k Catch-Up Contributions,509.65,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2725,10,1,Difficult to find suitable care.,4,2023-09-26,Childcare,On-Site Infant Care,915.48,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1142,25,1,Disappointing service.,2,2024-01-23,Life Insurance,Supplemental Standard,774.91,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2833,7,5,"Generous vacation days, very happy.",1,2023-12-09,Flexible Spending Account,Healthcare FSA,450.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3990,6,1,Unhappy with this benefit.,6,2024-05-11,Retirement Plan,401k Standard Matching,598.44,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4793,17,1,Unhappy with this benefit.,7,2024-06-19,Retirement Plan,401k Catch-Up Contributions,509.65,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4912,2,3,"Satisfactory, but could improve.",0,2024-01-21,Health Insurance,PPO Individual,706.93,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
172,25,4,"Solid plan, happy with it.",4,2023-08-12,Life Insurance,Supplemental Standard,774.91,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
172,25,4,"Solid plan, happy with it.",9,2023-12-23,Life Insurance,Supplemental Standard,774.91,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4257,16,2,Not happy with the coverage options.,0,2024-04-14,Health Insurance,HDHP Individual,84.55,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3637,10,4,Good quality care available.,0,2023-10-24,Childcare,On-Site Infant Care,915.48,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3637,10,4,Good quality care available.,0,2023-12-26,Childcare,On-Site Infant Care,915.48,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3117,18,4,Good plan with decent returns.,8,2023-10-02,Retirement Plan,401k Investment Fees,743.01,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3117,18,4,Good plan with decent returns.,7,2024-04-04,Retirement Plan,401k Investment Fees,743.01,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2885,22,2,Not happy with the coverage options.,3,2024-02-20,Health Insurance,HMO Family,624.0,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
699,10,1,Difficult to find suitable care.,0,2024-01-22,Childcare,On-Site Infant Care,915.48,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
649,20,2,Complicated reimbursement process.,0,2024-04-10,Tuition Reimbursement,Undergraduate Degree,489.96,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4287,8,2,Could use more vacation time.,3,2023-10-11,Wellness Programs,Premium Discount Tier 1,125.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
196,27,3,"Standard, nothing exceptional.",1,2024-07-15,Retirement Plan,401k Maximum Matching,913.01,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3492,2,4,"Great coverage, but a bit expensive.",0,2024-07-23,Health Insurance,PPO Individual,706.93,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2346,15,5,Incredible support for education.,0,2023-12-25,Tuition Reimbursement,Professional Certification,359.21,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2343,14,2,Not many locations available.,1,2024-07-13,Gym Membership,Tier 1 Partners,73.36,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1109,10,4,Good quality care available.,5,2024-01-19,Childcare,On-Site Infant Care,915.48,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1109,10,4,Good quality care available.,0,2024-04-29,Childcare,On-Site Infant Care,915.48,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
563,29,4,Sufficient time off provided.,2,2024-07-06,Childcare,After-School Care,475.0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184,7,4,Sufficient time off provided.,5,2024-02-21,Flexible Spending Account,Healthcare FSA,450.0,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
599,5,1,Inconvenient and inefficient.,0,2024-07-02,Technology Stipend,Monthly Internet Allowance,75.0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
441,5,4,"Very flexible, I appreciate it.",4,2024-02-05,Technology Stipend,Monthly Internet Allowance,75.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2590,3,3,Average amount of vacation days.,0,2023-09-13,Commuter Benefits,Transit Subsidy,325.0,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3771,20,2,Complicated reimbursement process.,0,2023-08-07,Tuition Reimbursement,Undergraduate Degree,489.96,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3719,30,1,Not worth the hassle.,5,2024-03-13,Tuition Reimbursement,Individual Courses,723.73,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3651,16,3,"Satisfactory, but could improve.",0,2023-09-21,Health Insurance,HDHP Individual,84.55,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4813,19,1,Membership is not very useful.,0,2023-11-06,Gym Membership,Tier 2 Partners,343.73,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2266,14,2,Not many locations available.,0,2024-05-05,Gym Membership,Tier 1 Partners,73.36,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
213,29,1,Barely any time off given.,1,2024-01-25,Childcare,After-School Care,475.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3063,24,5,Fantastic benefit! I use it daily.,1,2023-09-25,Gym Membership,Tier 3 Partners,780.78,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4809,26,1,Membership is not very useful.,2,2023-11-15,Gym Membership,Family Membership,519.66,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4393,15,5,Incredible support for education.,0,2023-11-27,Tuition Reimbursement,Professional Certification,359.21,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4393,15,5,Incredible support for education.,3,2023-11-15,Tuition Reimbursement,Professional Certification,359.21,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2886,28,5,Great peace of mind for my family.,5,2024-05-05,Life Insurance,Dependent Coverage,165.54,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2886,28,5,Great peace of mind for my family.,8,2024-05-25,Life Insurance,Dependent Coverage,165.54,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1119,17,1,Unhappy with this benefit.,1,2024-02-07,Retirement Plan,401k Catch-Up Contributions,509.65,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1525,2,3,"Satisfactory, but could improve.",2,2023-11-04,Health Insurance,PPO Individual,706.93,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4702,24,5,Fantastic benefit! I use it daily.,0,2023-12-30,Gym Membership,Tier 3 Partners,780.78,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1987,22,2,Not happy with the coverage options.,6,2023-11-21,Health Insurance,HMO Family,624.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1987,22,2,Not happy with the coverage options.,4,2023-12-17,Health Insurance,HMO Family,624.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3563,17,3,"Standard, nothing exceptional.",8,2023-12-19,Retirement Plan,401k Catch-Up Contributions,509.65,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3638,13,1,Inconvenient and inefficient.,5,2024-04-02,Cell Phone Allowance,Monthly Communications,65.0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3187,5,4,"Very flexible, I appreciate it.",3,2023-08-12,Technology Stipend,Monthly Internet Allowance,75.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3404,7,4,Sufficient time off provided.,0,2023-12-23,Flexible Spending Account,Healthcare FSA,450.0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
969,2,4,"Great coverage, but a bit expensive.",6,2023-08-21,Health Insurance,PPO Individual,706.93,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
974,6,4,Good plan with decent returns.,9,2024-04-06,Retirement Plan,401k Standard Matching,598.44,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1954,29,2,Could use more vacation time.,3,2024-03-12,Childcare,After-School Care,475.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2766,29,1,Barely any time off given.,3,2023-11-27,Childcare,After-School Care,475.0,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
380,18,1,Unhappy with this benefit.,3,2024-07-04,Retirement Plan,401k Investment Fees,743.01,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
49,5,5,Perfect for my work-life balance.,5,2023-10-03,Technology Stipend,Monthly Internet Allowance,75.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1764,23,2,Coverage is minimal.,2,2024-04-02,Life Insurance,Supplemental High Amount,969.28,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3151,1,5,Top-notch retirement plan.,1,2024-01-21,Retirement Plan,401k Basic Matching,876.21,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3151,1,5,Top-notch retirement plan.,3,2024-03-13,Retirement Plan,401k Basic Matching,876.21,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4483,6,2,Returns are not as expected.,0,2023-12-08,Retirement Plan,401k Standard Matching,598.44,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4483,6,2,Returns are not as expected.,5,2024-01-08,Retirement Plan,401k Standard Matching,598.44,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1219,14,4,"Good value, I enjoy the variety.",2,2023-09-02,Gym Membership,Tier 1 Partners,73.36,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2951,6,1,Unhappy with this benefit.,10,2024-03-25,Retirement Plan,401k Standard Matching,598.44,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1119,21,2,Coverage is minimal.,6,2024-03-31,Life Insurance,Basic Coverage,163.92,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1119,21,2,Coverage is minimal.,5,2024-07-31,Life Insurance,Basic Coverage,163.92,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
